"ID_Number","Assignment_Name","Score_At_Due_Date","Score_Best_Ever","Points_Possible","Number_Of_Attempts","Most_Recent_Completion_Date","Due_Date","Assignment_URL","Assignment_Type","Ordinal_Score"
"1","Inscribed angles",NA,NA,NA,0,"","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","0"
"2","Inscribed angles",NA,NA,NA,0,"","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","0"
"3","Inscribed angles",NA,NA,NA,0,"","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","0"
"4","Inscribed angles",4,4,4,1,"May 3rd, 10:13PM","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","4"
"5","Inscribed angles",NA,4,4,2,"May 19th, 6:06PM","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","4"
"6","Inscribed angles",NA,NA,NA,0,"","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","0"
"7","Inscribed angles",NA,NA,NA,0,"","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","0"
"8","Inscribed angles",NA,NA,NA,0,"","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","0"
"9","Inscribed angles",4,4,4,2,"May 3rd, 2:07PM","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","4"
"10","Inscribed angles",3,3,4,1,"May 3rd, 10:21PM","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","3"
"11","Inscribed angles",0,0,4,3,"May 10th, 5:19PM","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","0"
"12","Inscribed angles",2,2,4,2,"May 5th, 1:24PM","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","2"
"13","Inscribed angles",NA,NA,NA,0,"","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","0"
"14","Inscribed angles",4,4,4,3,"May 3rd, 6:34PM","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","4"
"16","Inscribed angles",NA,NA,NA,0,"","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","0"
"17","Inscribed angles",NA,NA,NA,0,"","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","0"
"18","Inscribed angles",NA,4,4,4,"May 14th, 2:02PM","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","4"
"19","Inscribed angles",NA,3,4,1,"May 21st, 6:30PM","May 10th, 11:59PM","https://www.khanacademy.org/math/geometry/hs-geo-circles/hs-geo-inscribed-angles/e/inscribed_angles_1","Exercise","3"
